# Radial bin: min	center	max
20.0 	24.6779926762 	29.3559853524
29.3559853524 	36.2223395765 	43.0886938006
43.0886938006 	53.167123502 	63.2455532034
63.2455532034 	78.0386649378 	92.8317766723
92.8317766723 	114.545095242 	136.258413812
136.258413812 	168.129206906 	200.0
200.0 	246.779926762 	293.559853524
293.559853524 	362.223395765 	430.886938006
430.886938006 	531.67123502 	632.455532034
632.455532034 	780.386649378 	928.317766723
928.317766723 	1145.45095242 	1362.58413812
1362.58413812 	1681.29206906 	2000.0
