# AngSepBCG center 	Ngals (Voids) 	Ngals (Sheets) 	Ngals (Filaments) 	Ngals (Knots)
0.0135374028088 	48067.0 	41355.0 	5226.0 	5226.0
0.0406122084263 	1330.0 	1426.0 	217.0 	217.0
0.0676870140439 	1149.0 	1343.0 	219.0 	219.0
0.0947618196614 	1099.0 	1345.0 	257.0 	257.0
0.121836625279 	994.0 	1395.0 	230.0 	230.0
0.148911430897 	981.0 	1251.0 	296.0 	296.0
0.175986236514 	951.0 	1245.0 	292.0 	292.0
0.203061042132 	800.0 	1197.0 	278.0 	278.0
0.230135847749 	598.0 	925.0 	222.0 	222.0
0.257210653367 	401.0 	839.0 	217.0 	217.0
0.284285458984 	305.0 	666.0 	197.0 	197.0
0.311360264602 	251.0 	505.0 	147.0 	147.0
0.338435070219 	189.0 	424.0 	155.0 	155.0
0.365509875837 	124.0 	355.0 	148.0 	148.0
0.392584681455 	80.0 	265.0 	137.0 	137.0
0.419659487072 	66.0 	187.0 	123.0 	123.0
0.44673429269 	59.0 	155.0 	125.0 	125.0
0.473809098307 	48.0 	133.0 	109.0 	109.0
0.500883903925 	34.0 	111.0 	82.0 	82.0
0.527958709542 	25.0 	98.0 	94.0 	94.0
0.55503351516 	23.0 	74.0 	52.0 	52.0
0.582108320777 	21.0 	53.0 	70.0 	70.0
0.609183126395 	12.0 	54.0 	49.0 	49.0
0.636257932013 	8.0 	37.0 	48.0 	48.0
0.66333273763 	4.0 	31.0 	47.0 	47.0
0.690407543248 	8.0 	25.0 	33.0 	33.0
0.717482348865 	5.0 	33.0 	44.0 	44.0
0.744557154483 	3.0 	18.0 	26.0 	26.0
0.7716319601 	7.0 	19.0 	22.0 	22.0
0.798706765718 	2.0 	19.0 	20.0 	20.0
0.825781571335 	6.0 	14.0 	22.0 	22.0
0.852856376953 	3.0 	12.0 	19.0 	19.0
0.879931182571 	0.0 	11.0 	17.0 	17.0
0.907005988188 	2.0 	8.0 	11.0 	11.0
0.934080793806 	6.0 	4.0 	15.0 	15.0
0.961155599423 	0.0 	7.0 	15.0 	15.0
0.988230405041 	1.0 	5.0 	11.0 	11.0
1.01530521066 	1.0 	4.0 	7.0 	7.0
1.04238001628 	1.0 	3.0 	8.0 	8.0
1.06945482189 	1.0 	3.0 	5.0 	5.0
1.09652962751 	0.0 	1.0 	15.0 	15.0
1.12360443313 	1.0 	1.0 	10.0 	10.0
1.15067923875 	1.0 	1.0 	4.0 	4.0
1.17775404436 	0.0 	3.0 	10.0 	10.0
1.20482884998 	2.0 	1.0 	9.0 	9.0
1.2319036556 	0.0 	1.0 	5.0 	5.0
1.25897846122 	1.0 	1.0 	4.0 	4.0
1.28605326683 	0.0 	0.0 	9.0 	9.0
1.31312807245 	0.0 	2.0 	6.0 	6.0
1.34020287807 	0.0 	2.0 	9.0 	9.0
1.36727768369 	0.0 	0.0 	4.0 	4.0
1.3943524893 	1.0 	0.0 	6.0 	6.0
1.42142729492 	2.0 	1.0 	3.0 	3.0
1.44850210054 	0.0 	1.0 	2.0 	2.0
1.47557690616 	1.0 	0.0 	5.0 	5.0
1.50265171177 	0.0 	1.0 	3.0 	3.0
1.52972651739 	0.0 	0.0 	1.0 	1.0
1.55680132301 	1.0 	1.0 	3.0 	3.0
1.58387612863 	0.0 	0.0 	4.0 	4.0
1.61095093424 	0.0 	0.0 	3.0 	3.0
1.63802573986 	0.0 	0.0 	0.0 	0.0
1.66510054548 	0.0 	0.0 	0.0 	0.0
1.6921753511 	1.0 	0.0 	1.0 	1.0
1.71925015671 	0.0 	0.0 	0.0 	0.0
1.74632496233 	0.0 	0.0 	2.0 	2.0
1.77339976795 	0.0 	0.0 	3.0 	3.0
1.80047457357 	0.0 	0.0 	1.0 	1.0
1.82754937918 	1.0 	0.0 	0.0 	0.0
1.8546241848 	1.0 	0.0 	1.0 	1.0
1.88169899042 	0.0 	0.0 	1.0 	1.0
1.90877379604 	1.0 	0.0 	0.0 	0.0
1.93584860166 	0.0 	0.0 	3.0 	3.0
1.96292340727 	0.0 	0.0 	4.0 	4.0
1.98999821289 	0.0 	0.0 	4.0 	4.0
2.01707301851 	0.0 	0.0 	2.0 	2.0
2.04414782413 	0.0 	0.0 	2.0 	2.0
2.07122262974 	0.0 	0.0 	3.0 	3.0
2.09829743536 	0.0 	0.0 	3.0 	3.0
2.12537224098 	0.0 	0.0 	1.0 	1.0
2.1524470466 	0.0 	0.0 	0.0 	0.0
2.17952185221 	0.0 	0.0 	1.0 	1.0
2.20659665783 	0.0 	0.0 	3.0 	3.0
2.23367146345 	0.0 	0.0 	2.0 	2.0
2.26074626907 	0.0 	0.0 	0.0 	0.0
2.28782107468 	0.0 	0.0 	1.0 	1.0
2.3148958803 	0.0 	0.0 	0.0 	0.0
2.34197068592 	0.0 	0.0 	0.0 	0.0
2.36904549154 	0.0 	0.0 	0.0 	0.0
2.39612029715 	0.0 	0.0 	0.0 	0.0
2.42319510277 	0.0 	0.0 	1.0 	1.0
2.45026990839 	0.0 	0.0 	0.0 	0.0
2.47734471401 	0.0 	0.0 	0.0 	0.0
2.50441951962 	0.0 	0.0 	0.0 	0.0
2.53149432524 	0.0 	0.0 	0.0 	0.0
2.55856913086 	0.0 	0.0 	0.0 	0.0
2.58564393648 	0.0 	0.0 	0.0 	0.0
2.61271874209 	0.0 	0.0 	0.0 	0.0
2.63979354771 	0.0 	0.0 	0.0 	0.0
2.66686835333 	0.0 	0.0 	0.0 	0.0
2.69394315895 	0.0 	0.0 	0.0 	0.0
