# AngSepBCG center 	Ngals (Voids) 	Ngals (Sheets) 	Ngals (Filaments) 	Ngals (Knots)
0.0135374028088 	43765 	41546 	29648 	6651
0.0406122084263 	1361 	1350 	969 	226
0.0676870140439 	1210 	1277 	923 	243
0.0947618196614 	1268 	1296 	859 	216
0.121836625279 	1240 	1243 	928 	233
0.148911430897 	1272 	1205 	905 	204
0.175986236514 	1229 	1203 	875 	209
0.203061042132 	1121 	1127 	821 	224
0.230135847749 	848 	907 	664 	161
0.257210653367 	740 	764 	559 	152
0.284285458984 	594 	636 	488 	115
0.311360264602 	478 	529 	409 	91
0.338435070219 	397 	436 	329 	74
0.365509875837 	357 	308 	277 	80
0.392584681455 	283 	279 	217 	75
0.419659487072 	221 	241 	200 	50
0.44673429269 	198 	194 	164 	59
0.473809098307 	180 	168 	151 	45
0.500883903925 	122 	148 	113 	36
0.527958709542 	135 	115 	116 	23
0.55503351516 	83 	103 	80 	29
0.582108320777 	88 	77 	81 	23
0.609183126395 	61 	70 	52 	20
0.636257932013 	57 	55 	38 	16
0.66333273763 	48 	43 	53 	15
0.690407543248 	36 	37 	40 	12
0.717482348865 	41 	42 	39 	15
0.744557154483 	26 	23 	33 	9
0.7716319601 	20 	33 	23 	6
0.798706765718 	27 	22 	19 	9
0.825781571335 	19 	21 	30 	7
0.852856376953 	13 	23 	20 	8
0.879931182571 	12 	28 	20 	5
0.907005988188 	12 	7 	14 	10
0.934080793806 	6 	20 	15 	8
0.961155599423 	11 	15 	9 	4
0.988230405041 	13 	7 	11 	4
1.01530521066 	8 	6 	13 	8
1.04238001628 	13 	7 	5 	4
1.06945482189 	7 	7 	10 	2
1.09652962751 	7 	9 	9 	3
1.12360443313 	7 	5 	3 	7
1.15067923875 	5 	0 	1 	3
1.17775404436 	4 	5 	4 	3
1.20482884998 	6 	5 	3 	4
1.2319036556 	2 	4 	3 	5
1.25897846122 	3 	1 	3 	4
1.28605326683 	2 	5 	5 	3
1.31312807245 	2 	2 	5 	0
1.34020287807 	4 	1 	4 	3
1.36727768369 	1 	1 	1 	3
1.3943524893 	1 	2 	2 	5
1.42142729492 	2 	1 	3 	1
1.44850210054 	3 	1 	1 	2
1.47557690616 	1 	2 	3 	3
1.50265171177 	1 	0 	2 	0
1.52972651739 	1 	0 	1 	1
1.55680132301 	1 	1 	0 	2
1.58387612863 	2 	1 	0 	2
1.61095093424 	1 	1 	1 	3
1.63802573986 	0 	0 	1 	1
1.66510054548 	0 	0 	0 	1
1.6921753511 	0 	1 	0 	3
1.71925015671 	0 	0 	0 	2
1.74632496233 	0 	0 	0 	1
1.77339976795 	0 	0 	0 	3
1.80047457357 	1 	0 	0 	0
1.82754937918 	0 	0 	1 	0
1.8546241848 	0 	1 	1 	0
1.88169899042 	0 	0 	0 	1
1.90877379604 	1 	0 	0 	2
1.93584860166 	2 	0 	0 	2
1.96292340727 	1 	0 	2 	1
1.98999821289 	0 	0 	1 	4
2.01707301851 	0 	1 	2 	1
2.04414782413 	0 	1 	0 	1
2.07122262974 	0 	0 	1 	2
2.09829743536 	1 	1 	0 	1
2.12537224098 	0 	0 	0 	1
2.1524470466 	0 	0 	1 	0
2.17952185221 	0 	0 	0 	0
2.20659665783 	0 	0 	3 	1
2.23367146345 	0 	0 	2 	0
2.26074626907 	0 	0 	0 	0
2.28782107468 	0 	0 	0 	0
2.3148958803 	0 	0 	0 	0
2.34197068592 	0 	0 	0 	0
2.36904549154 	0 	0 	0 	0
2.39612029715 	1 	0 	0 	0
2.42319510277 	1 	1 	0 	0
2.45026990839 	0 	0 	0 	0
2.47734471401 	0 	0 	0 	0
2.50441951962 	0 	0 	0 	0
2.53149432524 	0 	0 	0 	0
2.55856913086 	0 	0 	0 	0
2.58564393648 	0 	0 	0 	0
2.61271874209 	0 	0 	0 	0
2.63979354771 	0 	0 	0 	0
2.66686835333 	0 	0 	0 	0
2.69394315895 	0 	0 	1 	0
