# AngSepBCG_min[m] 	AngSepBCG_min[n] 	Radius[i](kpc/h100) 	Radius[j](kpc/h100) 	covariance(h100*M_sun/pc^2)^2 	correlation 	bias(1+K[m,i])(1+K[n,j])
0.05 	0.05 	24.6779926762 	24.6779926762 	2343.80819343 	1.0 	0.857105639626
0.05 	0.05 	24.6779926762 	36.2223395765 	-3.84162921129 	-0.00239571293095 	0.857010432191
0.05 	0.05 	24.6779926762 	53.167123502 	2.56951924667 	0.00233343753218 	0.856282549579
0.05 	0.05 	24.6779926762 	78.0386649378 	4.39238048738 	0.00575042392328 	0.856833996725
0.05 	0.05 	24.6779926762 	114.545095242 	-0.0851471356128 	-0.000160950053059 	0.857345159715
0.05 	0.05 	24.6779926762 	168.129206906 	3.10204841653 	0.00820737794062 	0.856838383547
0.05 	0.05 	24.6779926762 	246.779926762 	0.375504741876 	0.00128349988325 	0.856829543578
0.05 	0.05 	24.6779926762 	362.223395765 	0.159538746262 	0.000695244604866 	0.856936269571
0.05 	0.05 	24.6779926762 	531.67123502 	-0.249581839821 	-0.00141045573306 	0.85688899429
0.05 	0.05 	24.6779926762 	780.386649378 	-0.02373810966 	-0.000175898920717 	0.856764216743
0.05 	0.05 	24.6779926762 	1145.45095242 	-0.0255751082745 	-0.000252612439398 	0.85650837089
0.05 	0.05 	24.6779926762 	1681.29206906 	0.00875489162536 	0.000119895007272 	0.856343222872
0.05 	0.05 	36.2223395765 	24.6779926762 	-3.84162921129 	-0.00239571293095 	0.857010432191
0.05 	0.05 	36.2223395765 	36.2223395765 	1097.08245066 	1.0 	0.856915235331
0.05 	0.05 	36.2223395765 	53.167123502 	12.8221867568 	0.017019539383 	0.856187433572
0.05 	0.05 	36.2223395765 	78.0386649378 	6.30544706598 	0.0120658297437 	0.856738819464
0.05 	0.05 	36.2223395765 	114.545095242 	2.15414457878 	0.00595164926316 	0.857249925674
0.05 	0.05 	36.2223395765 	168.129206906 	-0.0136724077993 	-5.28740118625e-05 	0.856743205799
0.05 	0.05 	36.2223395765 	246.779926762 	1.27695022862 	0.00637963420849 	0.856734366812
0.05 	0.05 	36.2223395765 	362.223395765 	0.51673764462 	0.00329141734883 	0.856841080949
0.05 	0.05 	36.2223395765 	531.67123502 	0.142162493115 	0.00117428336803 	0.856793810919
0.05 	0.05 	36.2223395765 	780.386649378 	0.0718711767984 	0.000778418589739 	0.856669047233
0.05 	0.05 	36.2223395765 	1145.45095242 	-0.0359209792286 	-0.000518593201487 	0.856413229799
0.05 	0.05 	36.2223395765 	1681.29206906 	-0.0443344637572 	-0.000887428115425 	0.856248100126
0.05 	0.05 	53.167123502 	24.6779926762 	2.56951924667 	0.00233343753218 	0.856282549579
0.05 	0.05 	53.167123502 	36.2223395765 	12.8221867568 	0.017019539383 	0.856187433572
0.05 	0.05 	53.167123502 	53.167123502 	517.355802079 	1.0 	0.855460249955
0.05 	0.05 	53.167123502 	78.0386649378 	6.40993065957 	0.0178615692701 	0.85601116754
0.05 	0.05 	53.167123502 	114.545095242 	2.78876126762 	0.0112201533226 	0.856521839653
0.05 	0.05 	53.167123502 	168.129206906 	2.14163729761 	0.0120605789077 	0.856015550149
0.05 	0.05 	53.167123502 	246.779926762 	1.1277496914 	0.00820463937351 	0.856006718669
0.05 	0.05 	53.167123502 	362.223395765 	0.680428246521 	0.00631131939241 	0.856113342172
0.05 	0.05 	53.167123502 	531.67123502 	-0.0659494448777 	-0.000793275414963 	0.856066112289
0.05 	0.05 	53.167123502 	780.386649378 	0.0583429818952 	0.000920178405286 	0.855941454568
0.05 	0.05 	53.167123502 	1145.45095242 	0.023510845422 	0.000494278670532 	0.855685854408
0.05 	0.05 	53.167123502 	1681.29206906 	0.00356472321998 	0.000103906450909 	0.855520864983
0.05 	0.05 	78.0386649378 	24.6779926762 	4.39238048738 	0.00575042392328 	0.856833996725
0.05 	0.05 	78.0386649378 	36.2223395765 	6.30544706598 	0.0120658297437 	0.856738819464
0.05 	0.05 	78.0386649378 	53.167123502 	6.40993065957 	0.0178615692701 	0.85601116754
0.05 	0.05 	78.0386649378 	78.0386649378 	248.930501818 	1.0 	0.856562439917
0.05 	0.05 	78.0386649378 	114.545095242 	7.17537780933 	0.0416186349259 	0.857073440903
0.05 	0.05 	78.0386649378 	168.129206906 	3.39679157948 	0.027576982129 	0.856566825348
0.05 	0.05 	78.0386649378 	246.779926762 	2.05572832285 	0.0215609605048 	0.856557988181
0.05 	0.05 	78.0386649378 	362.223395765 	1.39976864249 	0.0187175796376 	0.856664680349
0.05 	0.05 	78.0386649378 	531.67123502 	-0.0345562399698 	-0.000599231916124 	0.85661742005
0.05 	0.05 	78.0386649378 	780.386649378 	0.0842673977057 	0.00191601366535 	0.856492682049
0.05 	0.05 	78.0386649378 	1145.45095242 	0.070080224761 	0.00212400098831 	0.856236917282
0.05 	0.05 	78.0386649378 	1681.29206906 	-0.0303513208364 	-0.0012754102304 	0.856071821604
0.05 	0.05 	114.545095242 	24.6779926762 	-0.0851471356128 	-0.000160950053059 	0.857345159715
0.05 	0.05 	114.545095242 	36.2223395765 	2.15414457878 	0.00595164926316 	0.857249925674
0.05 	0.05 	114.545095242 	53.167123502 	2.78876126762 	0.0112201533226 	0.856521839653
0.05 	0.05 	114.545095242 	78.0386649378 	7.17537780933 	0.0416186349259 	0.857073440903
0.05 	0.05 	114.545095242 	114.545095242 	119.408644641 	1.0 	0.857584746739
0.05 	0.05 	114.545095242 	168.129206906 	6.12982668416 	0.0718533805668 	0.857077828951
0.05 	0.05 	114.545095242 	246.779926762 	4.27630487358 	0.0647578195963 	0.857068986512
0.05 	0.05 	114.545095242 	362.223395765 	2.69523202398 	0.0520368213971 	0.857175742329
0.05 	0.05 	114.545095242 	531.67123502 	0.0085320790284 	0.000213621272464 	0.857128453837
0.05 	0.05 	114.545095242 	780.386649378 	0.0210002133549 	0.000689420034163 	0.85700364142
0.05 	0.05 	114.545095242 	1145.45095242 	0.0321198450738 	0.00140557441457 	0.856747724071
