|    z | completeness |      logmstar |
| 0.10 |     0.00e+00 |  9.2552725051 |
| 0.15 |     0.00e+00 |  9.2552725051 |
| 0.20 |     0.00e+00 |  9.2552725051 |
| 0.30 |     0.00e+00 |  9.2552725051 |
| 0.40 |     0.00e+00 |  9.2552725051 |
| 0.50 |     0.00e+00 |  9.2552725051 |
| 0.60 |     0.00e+00 |  9.2552725051 |
| 0.80 |     0.00e+00 |  9.2552725051 |
| 1.00 |     0.00e+00 |  9.2552725051 |
| 1.20 |     0.00e+00 |  9.2552725051 |
| 1.40 |     0.00e+00 |  9.2552725051 |
| 1.60 |     0.00e+00 |  9.2552725051 |
| 1.80 |     0.00e+00 |  9.2552725051 |
| 2.00 |     0.00e+00 |  9.2552725051 |
| 0.10 |     0.00e+00 |  9.3552725051 |
| 0.15 |     0.00e+00 |  9.3552725051 |
| 0.20 |     0.00e+00 |  9.3552725051 |
| 0.30 |     0.00e+00 |  9.3552725051 |
| 0.40 |     0.00e+00 |  9.3552725051 |
| 0.50 |     0.00e+00 |  9.3552725051 |
| 0.60 |     0.00e+00 |  9.3552725051 |
| 0.80 |     0.00e+00 |  9.3552725051 |
| 1.00 |     0.00e+00 |  9.3552725051 |
| 1.20 |     0.00e+00 |  9.3552725051 |
| 1.40 |     0.00e+00 |  9.3552725051 |
| 1.60 |     1.11e-16 |  9.3552725051 |
| 1.80 |     1.11e-15 |  9.3552725051 |
| 2.00 |     8.99e-15 |  9.3552725051 |
| 0.10 |     0.00e+00 |  9.4552725051 |
| 0.15 |     0.00e+00 |  9.4552725051 |
| 0.20 |     0.00e+00 |  9.4552725051 |
| 0.30 |     0.00e+00 |  9.4552725051 |
| 0.40 |     0.00e+00 |  9.4552725051 |
| 0.50 |     0.00e+00 |  9.4552725051 |
| 0.60 |     0.00e+00 |  9.4552725051 |
| 0.80 |     0.00e+00 |  9.4552725051 |
| 1.00 |     0.00e+00 |  9.4552725051 |
| 1.20 |     4.44e-16 |  9.4552725051 |
| 1.40 |     4.11e-15 |  9.4552725051 |
| 1.60 |     3.54e-14 |  9.4552725051 |
| 1.80 |     2.68e-13 |  9.4552725051 |
| 2.00 |     1.74e-12 |  9.4552725051 |
| 0.10 |     0.00e+00 |  9.5552725051 |
| 0.15 |     0.00e+00 |  9.5552725051 |
| 0.20 |     0.00e+00 |  9.5552725051 |
| 0.30 |     1.11e-16 |  9.5552725051 |
| 0.40 |     1.11e-16 |  9.5552725051 |
| 0.50 |     3.33e-16 |  9.5552725051 |
| 0.60 |     5.55e-16 |  9.5552725051 |
| 0.80 |     2.78e-15 |  9.5552725051 |
| 1.00 |     1.52e-14 |  9.5552725051 |
| 1.20 |     1.08e-13 |  9.5552725051 |
| 1.40 |     8.49e-13 |  9.5552725051 |
| 1.60 |     6.04e-12 |  9.5552725051 |
| 1.80 |     3.78e-11 |  9.5552725051 |
| 2.00 |     2.05e-10 |  9.5552725051 |
| 0.10 |     0.00e+00 |  9.6552725051 |
| 0.15 |     4.44e-16 |  9.6552725051 |
| 0.20 |     4.66e-15 |  9.6552725051 |
| 0.30 |     2.43e-14 |  9.6552725051 |
| 0.40 |     4.53e-14 |  9.6552725051 |
| 0.50 |     7.26e-14 |  9.6552725051 |
| 0.60 |     1.38e-13 |  9.6552725051 |
